id;"Comp. Word";Frequency;"Grammatical Feature";Pronunciation;"English Translation";Position;Kanji;KanjiID
12469;求愛;112;"light-verb -suru attached";kyuuai;courting;R;愛;4
13378;熱愛;88;"light-verb -suru attached";netuai;"love passionately";R;愛;4
13426;相愛;87;"light-verb -suru attached";sooai;"mutual love";R;愛;4
13904;溺愛;76;"light-verb -suru attached";dekiai;doting;R;愛;4
14326;偏愛;68;"light-verb -suru attached";henai;favoritism;R;愛;4
15109;汎愛;55;"general noun";hanai;philanthropy;R;愛;4
15127;割愛;54;"light-verb -suru attached";katuai;omitting;R;愛;4
15523;信愛;49;"light-verb -suru attached";sinai;"love and believe in";R;愛;4
15919;仁愛;44;"general noun";zinai;benevolence;R;愛;4
15964;遺愛;43;"general noun";iai;bequest;R;愛;4
16185;寵愛;41;"light-verb -suru attached";tyooai;favor;R;愛;4
16346;他愛;39;"adjective stem for -nai negation";taai;altruism;R;愛;4
18029;自愛;24;"light-verb -suru attached";ziai;"taking care of oneself";R;愛;4
19745;恩愛;14;"general noun";onnai;"kindness and affection";R;愛;4
523;悪化;21521;"light-verb -suru attached";akka;deterioration;L;悪;6
2175;悪質;4263;"adjectival noun, na-adjective";akusitu;"bad quality";L;悪;6
3308;悪用;2296;"light-verb -suru attached";akuyoo;abuse;L;悪;6
4535;悪手;1322;"general noun";akusyu;"poor move";L;悪;6
4659;悪夢;1261;"general noun";akumu;nightmare;L;悪;6
5011;悪魔;1108;"general noun";akuma;devil;L;悪;6
5925;悪口;782;"general noun";waruguti;abuse;L;悪;6
6601;悪意;614;"general noun";akui;"ill will";L;悪;6
6989;悪性;543;"general noun";akusei;malignancy;L;悪;6
7167;悪役;518;"general noun";akuyaku;villain;L;悪;6
7753;悪人;429;"general noun";akunin;"bad person";L;悪;6
7922;悪者;407;"general noun";warumono;"bad fellow";L;悪;6
8005;悪徳;395;"general noun";akutoku;vice;L;悪;6
8044;悪玉;390;"general noun";akudama;"bad character";L;悪;6
9120;悪臭;282;"general noun";akusyuu;stink;L;悪;6
9984;悪党;220;"general noun";akutoo;scoundrel;L;悪;6
10251;悪事;204;"general noun";akuzi;"evil deed";L;悪;6
11228;悪女;156;"general noun";akuzyo;"wicked or ugly woman";L;悪;6
11402;悪霊;149;"general noun";akuryoo;"evil spirit";L;悪;6
11559;悪名;143;"general noun";akumei;"bad reputation";L;悪;6
11910;悪性;130;"adjectival noun, na-adjective";akusyoo;"evil nature";L;悪;6
12436;悪弊;113;"general noun";akuhei;vice;L;悪;6
12541;悪評;110;"general noun";akuhyoo;"bad reputation";L;悪;6
12572;悪癖;109;"general noun";akuheki;"bad habit";L;悪;6
12701;悪態;105;"general noun";akutai;"abusive language";L;悪;6
13158;悪行;93;"general noun";akugyoo;misdeed;L;悪;6
13280;悪法;90;"general noun";akuhoo;"bad law";L;悪;6
13526;悪政;84;"general noun";akusei;misgovernment;L;悪;6
13617;悪気;82;"general noun";warugi;"ill will";L;悪;6
14815;悪習;59;"general noun";akusyuu;"bad habit";L;悪;6
15963;悪童;43;"general noun";akudoo;"bad boy";L;悪;6
16232;悪寒;40;"general noun";okan;chill;L;悪;6
16233;悪漢;40;"general noun";akkan;rascal;L;悪;6
16391;悪友;38;"general noun";akuyuu;"undesirable friend";L;悪;6
17435;悪業;28;"general noun";akugoo;"evil deed";L;悪;6
17436;悪妻;28;"general noun";akusai;"bad wife";L;悪;6
17555;悪例;27;"general noun";akurei;"bad example";L;悪;6
17809;悪形;25;"general noun";akugata;"villain's part";L;悪;6
17964;悪貨;24;"general noun";akka;"bad money";L;悪;6
17965;悪筆;24;"general noun";akuhitu;"poor handwriting";L;悪;6
18268;悪鬼;22;"general noun";akki;"evil spirit";L;悪;6
18269;悪戯;22;"light-verb -suru attached";itazura;mischief;L;悪;6
18567;悪文;20;"general noun";akubun;"bad style";L;悪;6
18568;悪辣;20;"adjectival noun, na-adjective";akuratu;crafty;L;悪;6
19109;悪心;17;"general noun";akusin;"evil thought";L;悪;6
20231;悪運;12;"general noun";akuun;"bad luck";L;悪;6
21097;悪逆;9;"general noun";akugyaku;atrocity;L;悪;6
21098;悪声;9;"general noun";akusei;"bad voice";L;悪;6
21469;悪書;8;"general noun";akusyo;"harmful book";L;悪;6
21470;悪銭;8;"general noun";akusen;"ill-gotten money";L;悪;6
21471;悪相;8;"general noun";akusoo;"evil countenance";L;悪;6
21472;悪病;8;"general noun";akubyoo;"bad health";L;悪;6
21877;悪食;7;"general noun";akuziki;"eating poor food";L;悪;6
21878;悪僧;7;"general noun";akusoo;"dissolute priest";L;悪;6
22341;悪風;6;"general noun";akuhuu;vice;L;悪;6
22855;悪疫;5;"general noun";akueki;epidemic;L;悪;6
22856;悪罵;5;"light-verb -suru attached";akuba;curse;L;悪;6
23433;悪所;4;"general noun";akusyo;"dangerous area";L;悪;6
24117;悪神;3;"general noun";akuzin;"evil god";L;悪;6
24118;悪日;3;"general noun";akubi;"unlucky day";L;悪;6
25000;悪縁;2;"general noun";akuen;"evil destiny or connection";L;悪;6
25001;悪感;2;"general noun";akkan;"ill feeling";L;悪;6
25002;悪戯;2;"adjectival noun, na-adjective";itazura;mischief;L;悪;6
25003;悪場;2;"general noun";waruba;"dangerous spot";L;悪;6
25004;悪念;2;"general noun";akunen;"evil thought";L;悪;6
26150;悪因;1;"general noun";akuin;"root of evil";L;悪;6
26151;悪疾;1;"general noun";akusitu;"malignant or virulent disease";L;悪;6
26152;悪戦;1;"general noun";akusen;"hard fighting";L;悪;6
26153;悪阻;1;"general noun";tuwari;"morning sickness";L;悪;6
1809;最悪;5639;"general noun";saiaku;"the worst";R;悪;6
4288;凶悪;1452;"adjectival noun, na-adjective";kyooaku;atrocious;R;悪;6
5560;憎悪;897;"light-verb -suru attached";zooo;hatred;R;悪;6
5900;嫌悪;788;"light-verb -suru attached";keno;disgust;R;悪;6
6192;最悪;709;"adjectival noun, na-adjective";saiaku;"the worst";R;悪;6
6564;善悪;622;"general noun";zenaku;"good and evil";R;悪;6
7613;劣悪;450;"adjectival noun, na-adjective";retuaku;inferiority;R;悪;6
7664;罪悪;441;"general noun";zaiaku;crime;R;悪;6
8420;凶悪;350;"general noun";kyooaku;atrocious;R;悪;6
8621;険悪;329;"adjectival noun, na-adjective";kenaku;dangerous;R;悪;6
8661;改悪;325;"light-verb -suru attached";kaiaku;deterioration;R;悪;6
10051;邪悪;216;"adjectival noun, na-adjective";zyaaku;wicked;R;悪;6
11890;粗悪;131;"adjectival noun, na-adjective";soaku;coarse;R;悪;6
13412;醜悪;87;"adjectival noun, na-adjective";syuuaku;ugliness;R;悪;6
13548;極悪;84;"adjectival noun, na-adjective";gokuaku;heinous;R;悪;6
13805;諸悪;78;"general noun";syoaku;"evil or crime";R;悪;6
14879;害悪;58;"general noun";gaiaku;harm;R;悪;6
15165;俗悪;54;"adjectival noun, na-adjective";zokuaku;worldliness;R;悪;6
15431;好悪;50;"general noun";kooo;"likes and dislikes";R;悪;6
17587;極悪;27;"general noun";gokuaku;heinous;R;悪;6
18643;性悪;20;"adjectival noun, na-adjective";syoowaru;ill-natured;R;悪;6
19299;露悪;17;"general noun";roaku;"boasting of one's faults";R;悪;6
19340;偽悪;16;"general noun";giaku;"pretense of evil";R;悪;6
19551;旧悪;15;"general noun";kyuuaku;"past misdeeds";R;悪;6
19566;険悪;15;"general noun";kenaku;dangerous;R;悪;6
20620;色悪;11;"general noun";iroaku;"handsome villain";R;悪;6
20771;劣悪;11;"general noun";retuaku;inferiority;R;悪;6
22117;性悪;7;"general noun";seiaku;ill-natured;R;悪;6
25188;兇悪;2;"general noun";kyooaku;atrocious;R;悪;6
26125;羞悪;2;"general noun";syuuo;"shame and hatred of evil";R;悪;6
27050;積悪;1;"general noun";sekiaku;"many sins";R;悪;6
116;安全;60307;"adjectival noun, na-adjective";anzen;safety;L;安;12
211;安打;41445;"general noun";anda;"safe hit";L;安;12
387;安定;27606;"adjectival noun, na-adjective";antei;stability;L;安;12
1120;安心;10457;"light-verb -suru attached";ansin;relief;L;安;12
1428;安保;7689;"general noun";anpo;"US-Japan Security Treaty";L;安;12
2613;安値;3273;"general noun";yasune;"low price";L;安;12
2732;安易;3054;"adjectival noun, na-adjective";ani;easy;L;安;12
3534;安否;2075;"general noun";anpi;safety;L;安;12
4057;安堵;1607;"light-verb -suru attached";ando;relief;L;安;12
4285;安価;1453;"adjectival noun, na-adjective";anka;"low price";L;安;12
5629;安楽;871;"adjectival noun, na-adjective";anraku;ease;L;安;12
6160;安心;719;"adjectival noun, na-adjective";ansin;relief;L;安;12
6848;安置;569;"light-verb -suru attached";anti;enshrinement;L;安;12
7709;安泰;435;"adjectival noun, na-adjective";antai;peace;L;安;12
7995;安住;396;"light-verb -suru attached";anzyuu;"living in peace";L;安;12
8279;安静;364;"adjectival noun, na-adjective";ansei;rest;L;安;12
10688;安直;180;"adjectival noun, na-adjective";antyoku;inexpensive;L;安;12
13106;安産;94;"light-verb -suru attached";anzan;"easy delivery";L;安;12
13159;安居;93;"light-verb -suru attached";ankyo;"easy life";L;安;12
13352;安寧;88;"general noun";annei;peace;L;安;12
13394;安穏;87;"adjectival noun, na-adjective";annon;peace;L;安;12
13727;安眠;79;"light-verb -suru attached";anmin;"quiet sleep";L;安;12
13841;安物;77;"general noun";yasumono;"cheap article";L;安;12
15345;安宿;51;"general noun";yasuyado;"cheap hotel";L;安;12
15411;安息;50;"light-verb -suru attached";ansoku;rest;L;安;12
15641;安閑;47;"general noun";ankan;easygoingness;L;安;12
19309;安逸;16;"adjectival noun, na-adjective";anitu;ease;L;安;12
19310;安手;16;"adjectival noun, na-adjective";yasude;"cheap kind";L;安;12
21473;安危;8;"general noun";anki;fate;L;安;12
23435;安座;4;"light-verb -suru attached";anza;"sitting quietly";L;安;12
26160;安気;1;"adjectival noun, na-adjective";anki;ease;L;安;12
26161;安神;1;"light-verb -suru attached";ansin;relief;L;安;12
310;不安;32309;"adjectival noun, na-adjective";huan;anxiety;R;安;12
681;治安;17248;"general noun";tian;"public order";R;安;12
1677;保安;6171;"general noun";hoan;"peace preservation";R;安;12
1796;公安;5701;"general noun";kooan;"public safety";R;安;12
2491;目安;3562;"general noun";meyasu;criterion;R;安;12
3351;平安;2252;"general noun";heian;peace;R;安;12
4115;慰安;1574;"light-verb -suru attached";ian;solace;R;安;12
4592;割安;1297;"adjectival noun, na-adjective";wariyasu;economical;R;安;12
6282;格安;688;"general noun";kakuyasu;cheap;R;安;12
6288;格安;687;"adjectival noun, na-adjective";kakuyasu;cheap;R;安;12
9550;平安;248;"adjectival noun, na-adjective";heian;peace;R;安;12
13678;大安;81;"general noun";taian;"lucky day";R;安;12
16093;先安;42;"adjectival noun, na-adjective";sakiyasu;"lower future quotations";R;安;12
16289;奉安;40;"light-verb -suru attached";hooan;enshrine;R;安;12
18165;子安;23;"general noun";koyasu;"safe, easy childbirth";R;安;12
27760;硫安;1;"general noun";ryuuan;"ammonium sulfate";R;安;12
2327;暗殺;3893;"light-verb -suru attached";ansatu;assassination;L;暗;14
5308;暗号;986;"general noun";angoo;code;L;暗;14
5985;暗闇;765;"general noun";kurayami;darkness;L;暗;14
6220;暗雲;702;"general noun";anun;"dark clouds";L;暗;14
6502;暗礁;638;"general noun";ansyoo;reef;L;暗;14
6816;暗証;574;"general noun";ansyoo;code;L;暗;14
7063;暗黒;533;"general noun";ankoku;darkness;L;暗;14
7064;暗示;533;"light-verb -suru attached";anzi;hint;L;暗;14
7145;暗黙;520;"general noun";anmoku;tacit;L;暗;14
7641;暗記;446;"light-verb -suru attached";anki;memorization;L;暗;14
7900;暗転;409;"light-verb -suru attached";anten;"theatrical blackout";L;暗;14
8633;暗躍;328;"light-verb -suru attached";anyaku;"secret manoeuvering";L;暗;14
9111;暗部;283;"general noun";anbu;"dark side";L;暗;14
11583;暗唱;142;"light-verb -suru attached";ansyoo;recitation;L;暗;14
12702;暗闘;105;"light-verb -suru attached";antoo;"secret feud";L;暗;14
13353;暗算;88;"light-verb -suru attached";anzan;"mental arithmetic";L;暗;14
15120;暗室;54;"general noun";ansitu;"dark room";L;暗;14
15263;暗夜;52;"general noun";anya;"dark night";L;暗;14
15720;暗然;46;"general noun";anzen;dark;L;暗;14
16489;暗喩;37;"general noun";anyu;metaphor;L;暗;14
17556;暗渠;27;"general noun";ankyo;"subterranean drain";L;暗;14
17557;暗譜;27;"light-verb -suru attached";anpu;"memorizing musical scores";L;暗;14
17966;暗澹;24;"general noun";antan;dark;L;暗;14
18912;暗幕;18;"general noun";anmaku;"blackout curtain";L;暗;14
19311;暗色;16;"general noun";ansyoku;"dark colour";L;暗;14
19522;暗誦;15;"light-verb -suru attached";ansyoo;recitation;L;暗;14
20487;暗流;11;"general noun";anryuu;undercurrent;L;暗;14
20787;暗愚;10;"adjectival noun, na-adjective";angu;imbecility;L;暗;14
21474;暗合;8;"light-verb -suru attached";angoo;coincidence;L;暗;14
21475;暗箱;8;"general noun";anbako;"camera obscura";L;暗;14
22342;暗鬱;6;"adjectival noun, na-adjective";anutu;gloom;L;暗;14
26163;暗君;1;"general noun";ankun;"foolish ruler";L;暗;14
26164;暗函;1;"general noun";anbako;"camera obscura";L;暗;14
26165;暗涙;1;"general noun";anrui;"silent tears";L;暗;14
4187;明暗;1531;"general noun";meian;"light and darkness";R;暗;14
25516;真暗;2;"adjectival noun, na-adjective";makkura;"total darkness";R;暗;14
29;以上;121572;"nonselfsustaining noun";izyoo;"not less than";L;以;15
154;以来;49906;"possible to use as an adverb";irai;since;L;以;15
158;以降;48749;"possible to use as an adverb";ikoo;"on and after";L;以;15
351;以下;29607;"nonselfsustaining noun";ika;"not exceeding";L;以;15
352;以外;29561;"nonselfsustaining noun";igai;"with the exception of";L;以;15
694;以内;17015;"nonselfsustaining noun";inai;within;L;以;15
748;以前;15689;"possible to use as an adverb";izen;ago;L;以;15
2050;以後;4628;"possible to use as an adverb";igo;"after this";L;以;15
8016;以南;394;suffix;inan;"south of";L;以;15
9971;以西;221;suffix;isei;"... and westward";L;以;15
10553;以北;187;suffix;ihoku;"north of";L;以;15
14945;以東;57;"general noun";itoo;"... and eastward";L;以;15
15486;以南;49;"nonselfsustaining noun";inan;"south of";L;以;15
17308;以遠;29;suffix;ien;beyond;L;以;15
17558;以内;27;suffix;inai;within;L;以;15
22857;以西;5;"general noun";isei;"... and westward";L;以;15
24122;以北;3;"nonselfsustaining noun";ihoku;"north of";L;以;15
14416;所以;66;"general noun";yuen;reason;R;以;15
1048;位置;11290;"light-verb -suru attached";iti;place;L;位;17
12632;位牌;107;"general noun";ihai;"Buddhist mortuary tablet";L;位;17
14448;位相;65;"general noun";isoo;phase;L;位;17
18270;位階;22;"general noun";ikai;"court rank";L;位;17
25009;位地;2;"general noun";iti;place;L;位;17
26167;位記;1;"general noun";iki;"court rank diploma";L;位;17
533;首位;21213;"general noun";syui;"first place";R;位;17
599;順位;19416;"general noun";zyuni;order;R;位;17
850;上位;14014;"general noun";zyooi;superior;R;位;17
1297;単位;8625;"general noun";tani;unit;R;位;17
1627;地位;6401;"general noun";tii;position;R;位;17
2279;優位;4014;"adjectival noun, na-adjective";yuui;predominance;R;位;17
3535;王位;2075;"general noun";ooi;"the throne";R;位;17
3764;下位;1862;"general noun";kai;"low rank";R;位;17
4056;部位;1608;"general noun";bui;part;R;位;17
4963;本位;1124;"general noun";honi;standard;R;位;17
5770;水位;822;"general noun";suii;"water level";R;位;17
5959;即位;772;"light-verb -suru attached";sokui;enthronement;R;位;17
6030;皇位;754;"general noun";kooi;"imperial throne";R;位;17
6164;優位;719;"general noun";yuui;predominance;R;位;17
6429;在位;654;"light-verb -suru attached";zaii;reign;R;位;17
6432;測位;653;"general noun";sokui;positioning;R;位;17
7305;段位;497;"general noun";dani;dan;R;位;17
7496;学位;466;"general noun";gakui;degree;R;位;17
7949;品位;404;"general noun";hini;grace;R;位;17
9552;方位;248;"general noun";hooi;direction;R;位;17
10093;同位;214;"general noun";dooi;"the same rank";R;位;17
10229;中位;206;"general noun";tyuui;medium;R;位;17
10398;低位;197;"general noun";teii;"lower position";R;位;17
11195;退位;158;"light-verb -suru attached";taii;abdication;R;位;17
11394;高位;150;"adjectival noun, na-adjective";kooi;dignity;R;位;17
11549;潮位;144;"general noun";tyooi;"tide level";R;位;17
11668;復位;139;"light-verb -suru attached";hukui;restoration;R;位;17
12439;各位;113;"general noun";kakui;everyone;R;位;17
13666;高位;81;"general noun";kooi;dignity;R;位;17
14783;体位;60;"general noun";taii;physique;R;位;17
15291;爵位;52;"general noun";syakui;peerage;R;位;17
15502;空位;49;"general noun";kuui;"vacant post";R;位;17
16019;代位;43;"light-verb -suru attached";daii;subrogation;R;位;17
16841;職位;34;"general noun";syokui;"employment position or rank";R;位;17
17101;官位;31;"general noun";kani;"office and rank";R;位;17
17579;気位;27;"general noun";kigurai;pride;R;位;17
18490;譲位;21;"light-verb -suru attached";zyooi;abdication;R;位;17
18517;電位;21;"general noun";deni;potential;R;位;17
18678;転位;20;"light-verb -suru attached";teni;transposition;R;位;17
18704;変位;20;"light-verb -suru attached";heni;"change of position";R;位;17
19905;帝位;14;"general noun";teii;"the throne";R;位;17
19931;風位;14;"general noun";huui;"wind direction";R;位;17
22084;叙位;7;"general noun";zyoi;investiture;R;位;17
22632;贈位;6;"light-verb -suru attached";zooi;"conferral of a posthumous rank";R;位;17
22963;金位;5;"general noun";kini;"fineness of gold";R;位;17
23166;僧位;5;"general noun";sooi;"priestly rank";R;位;17
23221;定位;5;"light-verb -suru attached";teii;position;R;位;17
23344;無位;5;"general noun";mui;"lacking rank";R;位;17
23698;次位;4;"general noun";zii;"second rank";R;位;17
23927;廃位;4;"general noun";haii;dethronement;R;位;17
25421;主位;2;"general noun";syui;"first place";R;位;17
26215;栄位;1;"general noun";eii;"exalted position";R;位;17
27796;霊位;1;"general noun";reii;"memorial tablet";R;位;17
151;医療;51179;"general noun";iryoo;"medical care";L;医;19
311;医師;32234;"general noun";isi;doctor;L;医;19
1488;医学;7225;"general noun";igaku;"medical science";L;医;19
2839;医者;2895;"general noun";isya;doctor;L;医;19
3389;医大;2214;"general noun";idai;"medical university";L;医;19
3950;医院;1682;"general noun";iin;"doctor's office";L;医;19
4849;医科;1167;"general noun";ika;"medical science";L;医;19
6146;医薬;723;"general noun";iyaku;medicine;L;医;19
7923;医局;407;"general noun";ikyoku;"medical office";L;医;19
7960;医長;402;"general noun";ityoo;"medical director";L;医;19
8339;医務;359;"general noun";imu;"medical affairs";L;医;19
9007;医事;292;"general noun";izi;"medical practice";L;医;19
9348;医業;263;"general noun";igyoo;"medical practice";L;医;19
9470;医道;253;"general noun";idoo;"the art of medicine";L;医;19
15721;医術;46;"general noun";izyutu;medicine;L;医;19
18571;医用;20;"general noun";iyoo;"medical use";L;医;19
19524;医員;15;"general noun";iin;"medical staff";L;医;19
20788;医家;10;"general noun";ika;doctor;L;医;19
21479;医書;8;"general noun";isyo;"medical book";L;医;19
23441;医界;4;"general noun";ikai;"medical world";L;医;19
24128;医籍;3;"general noun";iseki;"register of physicians";L;医;19
24129;医方;3;"general noun";ihoo;"healing method";L;医;19
4491;獣医;1347;"general noun";zyuui;veterinarian;R;医;19
9406;軍医;258;"general noun";guni;"military physician or surgeon";R;医;19
9636;女医;242;"general noun";zyoi;"woman doctor";R;医;19
11832;名医;133;"general noun";meii;"noted doctor";R;医;19
13006;侍医;97;"general noun";zii;"court physician";R;医;19
18153;校医;23;"general noun";kooi;"school doctor";R;医;19
20945;船医;10;"general noun";seni;"ship's doctor";R;医;19
3544;偉大;2069;"adjectival noun, na-adjective";idai;greatness;L;偉;30
6105;偉業;733;"general noun";igyoo;"great enterprise";L;偉;30
9775;偉人;233;"general noun";izin;"great man";L;偉;30
19982;偉才;13;"general noun";isai;genius;L;偉;30
20232;偉容;12;"general noun";iyoo;dignity;L;偉;30
25010;偉功;2;"general noun";ikoo;"great deed";L;偉;30
25011;偉材;2;"general noun";izai;"extraordinary talent";L;偉;30
26168;偉観;1;"general noun";ikan;"magnificent sight";L;偉;30
26169;偉勲;1;"general noun";ikun;"great achievement";L;偉;30
22900;魁偉;5;"adjectival noun, na-adjective";kaii;brawny;R;偉;30
25998;雄偉;2;"general noun";yuui;magnificent;R;偉;30
149;意見;52177;"light-verb -suru attached";iken;opinion;L;意;33
278;意味;35624;"light-verb -suru attached";imi;meaning;L;意;33
287;意識;34656;"light-verb -suru attached";isiki;consciousness;L;意;33
531;意向;21234;"general noun";ikoo;intention;L;意;33
764;意欲;15391;"general noun";iyoku;will;L;意;33
813;意思;14554;"general noun";isi;intention;L;意;33
1456;意義;7520;"general noun";igi;meaning;L;意;33
1543;意図;6876;"light-verb -suru attached";ito;intention;L;意;33
1865;意外;5368;"adjectival noun, na-adjective";igai;unexpected;L;意;33
3101;意地;2520;"general noun";izi;disposition;L;意;33
3835;意志;1785;"general noun";isi;will;L;意;33
6212;意表;704;"general noun";ihyoo;surprise;L;意;33
7113;意気;525;"general noun";iki;spirit;L;意;33
9134;意匠;281;"general noun";isyoo;design;L;意;33
10072;意中;215;"general noun";ityuu;"one's mind";L;意;33
13197;意趣;92;"general noun";isyu;grudge;L;意;33
14946;意訳;57;"light-verb -suru attached";iyaku;"free translation";L;意;33
164;合意;47582;"light-verb -suru attached";gooi;agreement;R;意;33
746;注意;15786;"light-verb -suru attached";tyuui;caution;R;意;33
1079;用意;11016;"light-verb -suru attached";yooi;preparation;R;意;33
1201;決意;9566;"light-verb -suru attached";ketui;decision;R;意;33
1223;同意;9223;"light-verb -suru attached";dooi;agreement;R;意;33
1273;得意;8831;"adjectival noun, na-adjective";tokui;triumph;R;意;33
2676;任意;3181;"general noun";nini;optional;R;意;33
3315;民意;2287;"general noun";mini;"popular will";R;意;33
3866;辞意;1761;"general noun";zii;"intention to resign";R;意;33
3926;熱意;1715;"general noun";netui;zeal;R;意;33
3964;真意;1674;"general noun";sini;"real intention";R;意;33
3967;殺意;1672;"general noun";satui;"intent to kill";R;意;33
4050;敬意;1612;"light-verb -suru attached";keii;respect;R;意;33
4410;誠意;1385;"general noun";seii;sincerity;R;意;33
4580;好意;1303;"general noun";kooi;"good will";R;意;33
4608;故意;1289;"general noun";koi;intention;R;意;33
5139;留意;1060;"light-verb -suru attached";ryuui;heeding;R;意;33
5190;善意;1037;"general noun";zeni;"virtuous mind";R;意;33
5537;随意;902;"adjectival noun, na-adjective";zuii;voluntary;R;意;33
6046;謝意;750;"general noun";syai;gratitude;R;意;33
6339;創意;674;"general noun";sooi;"original idea";R;意;33
6601;悪意;614;"general noun";akui;"ill will";R;意;33
6854;総意;569;"general noun";sooi;"consensus of opinion";R;意;33
6981;恣意;545;"general noun";sii;arbitrariness;R;意;33
7425;任意;478;"adjectival noun, na-adjective";nini;optional;R;意;33
7684;主意;439;"general noun";syui;"main meaning";R;意;33
7896;極意;410;"general noun";gokui;"essential point";R;意;33
8070;失意;387;"general noun";situi;disappointment;R;意;33
8375;趣意;355;"general noun";syui;"main meaning";R;意;33
8616;敵意;330;"general noun";tekii;hostility;R;意;33
8824;戦意;309;"general noun";seni;"fighting spirit";R;意;33
8843;賛意;307;"general noun";sani;approval;R;意;33
9176;弔意;278;"general noun";tyooi;condolence;R;意;33
9650;祝意;241;"general noun";syukui;congratulations;R;意;33
9710;翻意;238;"light-verb -suru attached";honi;"change one's mind";R;意;33
9818;本意;231;"adjectival noun, na-adjective";honi;"one's real intent";R;意;33
10171;不意;209;"adjectival noun, na-adjective";hui;sudden;R;意;33
12244;犯意;120;"general noun";hani;"criminal intent";R;意;33
13433;不意;87;"general noun";hui;sudden;R;意;33
13450;寓意;86;"general noun";guui;"hidden meaning";R;意;33
13964;有意;75;"adjectival noun, na-adjective";yuui;significance;R;意;33
14134;厚意;71;"general noun";kooi;kindness;R;意;33
14239;懇意;69;"adjectival noun, na-adjective";koni;kindness;R;意;33
14261;如意;69;"general noun";nyoi;"one's wishes";R;意;33
14285;鋭意;68;"possible to use as an adverb";eii;eagerly;R;意;33
14634;懇意;62;"general noun";koni;kindness;R;意;33
15303;神意;52;"general noun";sini;"divine will";R;意;33
15439;上意;50;"general noun";zyooi;"will or decree";R;意;33
15848;尿意;45;"general noun";nyooi;"the urge to urinate";R;意;33
16215;便意;41;"general noun";beni;"call of nature";R;意;33
